Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #1233
Sample Name,2-Butanol
Formula,C4H10O
Molecular Weight (g/mol),74.122
Sample Weight (g),2.0000
Water Temp (deg C),24.00
Room Temp (deg C),25.54
Water Volume (L),2.0
Wire Before (g),0.026
Wire After (g),0.021
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,24.01
60.00,24.01
90.00,23.99
120.00,24.01
150.00,24.02
180.00,24.02
210.00,23.99
240.00,24.02
270.00,24.02
300.00,24.03
330.00,25.34
360.00,27.36
390.00,28.90
420.00,29.88
450.00,30.44
480.00,30.79
510.00,30.97
540.00,31.04
570.00,31.10
600.00,31.14
630.00,31.15
660.00,31.15
690.00,31.15
720.00,31.15
750.00,31.13
780.00,31.13
810.00,31.13
840.00,31.14
870.00,31.12
900.00,31.10
930.00,31.13
960.00,31.12
